"inc_id","date_inc","incident_type","description","location_city","location_state","injury_flag","total_cost","is_preventabe","fullname","years_experience","distance_of_trip","truck_oem","year_constr"
"INC00000042","27/08/2022 05:00:00","Moving Violation","Severe incident involving other driver","Memphis","TX","False",43472.27,"False","Mary Taylor","15",2008,"Freightliner","2016"
"INC00000043","12/11/2024 09:00:00","Moving Violation","Minor incident involving weather","Nashville","NV","False",16514.69,"False","Joseph Hernandez","23",2228,"Freightliner","2015"
"INC00000044","17/07/2023 13:00:00","DOT Violation","Minor incident involving weather","Chicago","MI","False",13299.51,"True","Richard Hernandez","23",1312,"Mack","2017"
"INC00000045","03/06/2024 03:00:00","DOT Violation","Moderate incident involving other driver","Columbus","TN","True",0.0,"False","David Miller","14",1632,"Mack","2015"
"INC00000046","28/06/2022 09:00:00","DOT Violation","Moderate incident involving weather","Chicago","MO","False",0.0,"False","James Martin","13",708,"Mack","2015"
"INC00000047","09/07/2022 18:00:00","Equipment Damage","Minor incident involving equipment","Columbus","TN","True",12202.8,"False","Karen Martin","2",2510,"Kenworth","2018"
"INC00000048","27/07/2024 12:00:00","Customer Complaint","Moderate incident involving equipment","Phoenix","IL","False",0.0,"False","William Wilson","18",1829,"Volvo","2015"
"INC00000049","26/12/2023 16:00:00","Equipment Damage","Severe incident involving equipment","Memphis","GA","True",23165.07,"False","David Miller","14",1268,"Peterbilt","2016"
"INC00000050","27/05/2023 22:00:00","Equipment Damage","Severe incident involving other driver","Houston","NV","False",0.0,"True","James Williams","7",1329,"International","2015"
"INC00000051","29/07/2022 10:00:00","Accident","Minor incident involving other driver","Los Angeles","NV","False",5214.81,"True","David Smith","23",1214,"International","2015"
"INC00000052","03/11/2024 08:00:00","Accident","Minor incident involving other driver","Los Angeles","NE","False",0.0,"False","Linda Jones","20",1311,"International","2015"
"INC00000053","15/04/2023 02:00:00","Accident","Minor incident involving equipment","Houston","NV","False",852.1,"False","Robert Jackson","20",2023,"International","2015"
"INC00000054","10/10/2022 23:00:00","Accident","Moderate incident involving traffic","Miami","UT","False",18809.17,"False","David Anderson","15",1754,"Volvo","2015"
"INC00000055","06/01/2022 15:00:00","Equipment Damage","Severe incident involving equipment","Phoenix","NY","True",23366.57,"False","Thomas Jackson","2",914,"Peterbilt","2015"
"INC00000056","11/06/2024 15:00:00","DOT Violation","Minor incident involving other driver","Chicago","NE","False",17112.08,"False","Jennifer Martinez","15",1307,"Peterbilt","2017"
"INC00000057","05/11/2023 17:00:00","Moving Violation","Minor incident involving other driver","Charlotte","TN","True",0.0,"True","Michael Anderson","7",2731,"Freightliner","2015"
"INC00000058","22/09/2024 04:00:00","DOT Violation","Minor incident involving other driver","Memphis","MN","True",24102.19,"False","Thomas Gonzalez","15",2140,"Volvo","2015"
"INC00000059","29/05/2024 11:00:00","Equipment Damage","Minor incident involving equipment","Salt Lake City","NC","True",15019.37,"True","David Thomas","23",555,"Freightliner","2015"
"INC00000060","21/05/2024 07:00:00","Accident","Severe incident involving equipment","Atlanta","IL","False",13414.05,"False","John Davis","5",1127,,
"INC00000061","22/10/2024 20:00:00","Moving Violation","Moderate incident involving weather","Salt Lake City","OR","False",18400.91,"False","Jennifer Wilson","6",744,"Freightliner","2015"
"INC00000062","04/09/2024 21:00:00","DOT Violation","Minor incident involving other driver","Salt Lake City","WA","False",7737.05,"True","Thomas Wilson","3",2116,"Peterbilt","2016"
"INC00000063","17/04/2022 17:00:00","Equipment Damage","Minor incident involving equipment","Seattle","CA","False",50174.86,"False","John Thomas","15",1488,"International","2015"
"INC00000064","13/04/2023 17:00:00","DOT Violation","Moderate incident involving traffic","Milwaukee","OH","False",0.0,"False","Jennifer Miller","14",3160,"International","2015"
"INC00000065","24/12/2024 09:00:00","Accident","Severe incident involving weather","Phoenix","OK","False",17783.76,"True","Thomas Jackson","2",687,"Kenworth","2017"
"INC00000066","10/05/2022 12:00:00","DOT Violation","Minor incident involving other driver","Salt Lake City","TN","False",61179.09,"True","Sarah Anderson","16",1295,"Kenworth","2015"
"INC00000067","18/08/2022 02:00:00","DOT Violation","Minor incident involving equipment","Columbus","IN","False",0.0,"True","William Wilson","18",1327,"Kenworth","2018"
"INC00000068","02/12/2024 08:00:00","Moving Violation","Minor incident involving weather","Denver","FL","False",16566.78,"False","Jessica Hernandez","5",2084,"Volvo","2015"
"INC00000069","21/08/2024 06:00:00","DOT Violation","Minor incident involving traffic","Los Angeles","GA","False",15399.79,"True","Mary Williams","23",1524,"International","2018"
"INC00000070","31/03/2023","Equipment Damage","Moderate incident involving traffic","Charlotte","MI","False",47959.36,"False","Robert Moore","25",1288,"Mack","2016"
"INC00000071","15/01/2024 17:00:00","Accident","Minor incident involving traffic","Chicago","GA","False",0.0,"True","Sarah Anderson","16",1169,"Volvo","2015"
"INC00000072","29/06/2023 19:00:00","DOT Violation","Severe incident involving weather","Nashville","MN","False",0.0,"True","James Davis","21",547,"Mack","2015"
"INC00000073","11/08/2024 07:00:00","Equipment Damage","Moderate incident involving weather","Miami","CA","False",0.0,"False","Barbara Brown","19",855,"Peterbilt","2015"
"INC00000074","17/05/2022 09:00:00","Customer Complaint","Severe incident involving traffic","Seattle","NE","False",0.0,"True","John Davis","5",1281,"Freightliner","2015"
"INC00000075","11/01/2023 08:00:00","DOT Violation","Minor incident involving equipment","Salt Lake City","MO","False",0.0,"False","Charles Hernandez","19",1819,"Peterbilt","2015"
"INC00000076","21/11/2022 16:00:00","Equipment Damage","Severe incident involving equipment","Phoenix","AZ","True",23775.81,"False","Elizabeth Miller","7",1864,"Freightliner","2016"
"INC00000077","21/05/2023 11:00:00","Equipment Damage","Moderate incident involving equipment","Memphis","UT","True",48640.21,"False","Jessica Gonzalez","12",640,"Kenworth","2015"
"INC00000078","18/04/2023 07:00:00","Moving Violation","Severe incident involving other driver","Las Vegas","GA","False",0.0,"False","Mary Miller","11",636,"Peterbilt","2015"
"INC00000079","18/08/2022 01:00:00","Customer Complaint","Severe incident involving weather","Miami","IL","False",19373.44,"False","Richard Davis","24",2425,"Peterbilt","2017"
"INC00000080","21/01/2022 17:00:00","Moving Violation","Minor incident involving equipment","Memphis","NC","False",1898.17,"False","Thomas Jackson","23",2314,"Freightliner","2015"
"INC00000081","08/01/2022 22:00:00","Accident","Moderate incident involving weather","Seattle","CO","False",10725.67,"False","Mary Williams","23",2320,"International","2015"
"INC00000082","27/09/2023 18:00:00","Moving Violation","Minor incident involving equipment","Philadelphia","CO","False",39284.18,"True","Jessica Jones","3",713,"Freightliner","2015"
"INC00000083","04/07/2022 02:00:00","Equipment Damage","Moderate incident involving equipment","Dallas","OH","False",8606.98,"True","William Anderson","9",1506,"Volvo","2019"
"INC00000084","08/11/2024 05:00:00","Equipment Damage","Minor incident involving equipment","Salt Lake City","OR","False",0.0,"False","John Martin","2",2616,"Mack","2015"
"INC00000085","03/08/2023 19:00:00","Accident","Moderate incident involving traffic","Los Angeles","OH","False",0.0,"True","Robert Brown","25",511,"International","2015"
"INC00000086","10/10/2024 15:00:00","DOT Violation","Severe incident involving weather","Columbus","WI","False",0.0,"True"," ",,532,"Volvo","2017"
"INC00000087","04/02/2023 09:00:00","Customer Complaint","Minor incident involving traffic","Indianapolis","TX","False",0.0,"False","Robert Johnson","11",170,"Mack","2017"
"INC00000088","26/01/2023 03:00:00","Customer Complaint","Moderate incident involving equipment","Los Angeles","NC","True",12833.93,"True","Charles Jones","18",823,"Volvo","2015"
"INC00000089","20/04/2022 23:00:00","DOT Violation","Severe incident involving equipment","Chicago","IL","False",50423.41,"False","Mary Anderson","6",747,"International","2019"
"INC00000090","26/12/2023 10:00:00","Accident","Severe incident involving weather","Philadelphia","PA","False",0.0,"False","Jessica Garcia","21",2076,"International","2015"
"INC00000091","18/06/2024 15:00:00","Accident","Moderate incident involving weather","Milwaukee","NC","False",17306.77,"True","David Anderson","15",1860,"Mack","2017"
"INC00000092","25/11/2024 13:00:00","Accident","Moderate incident involving equipment","Omaha","MO","False",26380.08,"False","Sarah Jackson","25",509,"International","2015"
"INC00000093","07/08/2024 17:00:00","Equipment Damage","Minor incident involving other driver","Dallas","OK","False",14119.63,"True","Jennifer Thomas","4",796,"Mack","2016"
"INC00000094","23/01/2023 10:00:00","Moving Violation","Severe incident involving equipment","Columbus","OH","False",10089.02,"False","Jessica Johnson","12",2215,"Mack","2015"
"INC00000095","21/11/2024 16:00:00","Accident","Moderate incident involving other driver","Memphis","NC","False",1279.18,"False","Joseph Garcia","16",1024,"Kenworth","2015"
"INC00000096","18/07/2024 17:00:00","Accident","Moderate incident involving weather","Atlanta","NE","True",3427.03,"False","Linda Davis","12",2165,"International","2015"
"INC00000097","24/11/2024 11:00:00","Moving Violation","Moderate incident involving other driver","Minneapolis","TX","False",9235.63,"False","Richard Davis","24",630,"Peterbilt","2020"
"INC00000098","07/05/2024 13:00:00","Customer Complaint","Minor incident involving weather","Portland","TN","False",17529.86,"True","James Wilson","12",706,"Freightliner","2015"
"INC00000099","11/03/2023 14:00:00","DOT Violation","Severe incident involving traffic","Columbus","AZ","False",0.0,"True","David Anderson","5",1175,"Mack","2015"
"INC00000100","07/11/2024 13:00:00","DOT Violation","Moderate incident involving other driver","Minneapolis","PA","False",0.0,"True","Joseph Jones","23",1302,"International","2015"
"INC00000101","27/05/2023 01:00:00","Accident","Severe incident involving weather","Portland","NY","False",29959.93,"False","Jennifer Martinez","15",689,"International","2016"
"INC00000102","07/07/2022 17:00:00","Equipment Damage","Severe incident involving other driver","Oklahoma City","IN","False",21112.58,"False","James Davis","21",1183,"Volvo","2017"
"INC00000103","11/02/2024 03:00:00","Accident","Moderate incident involving weather","Phoenix","TX","False",0.0,"True","David Anderson","5",1248,"Peterbilt","2015"
"INC00000104","03/03/2022 16:00:00","Moving Violation","Severe incident involving other driver","Oklahoma City","MI","False",4066.86,"True","Sarah Jackson","25",2801,"Volvo","2017"
"INC00000105","30/07/2024 21:00:00","Accident","Severe incident involving other driver","Salt Lake City","GA","False",9156.03,"True","Charles Hernandez","19",751,"Peterbilt","2020"
"INC00000106","09/03/2024 07:00:00","DOT Violation","Minor incident involving other driver","Detroit","IL","False",0.0,"True","Barbara Moore","20",2491,"International","2019"
"INC00000107","12/08/2022 19:00:00","Moving Violation","Moderate incident involving traffic","Indianapolis","OH","False",0.0,"True","Susan Hernandez","4",1566,"Volvo","2015"
"INC00000108","30/01/2024 18:00:00","Accident","Moderate incident involving traffic","Kansas City","TN","False",2738.59,"False","Linda Davis","12",2796,"Mack","2015"
"INC00000109","27/09/2024 21:00:00","Accident","Severe incident involving other driver","Omaha","UT","True",49744.07,"True","David Anderson","5",769,"Peterbilt","2015"
"INC00000110","17/08/2023 09:00:00","Moving Violation","Moderate incident involving traffic","Miami","PA","False",6524.27,"False","Mary Martinez","12",1364,"Kenworth","2018"
"INC00000111","08/05/2023 20:00:00","Equipment Damage","Moderate incident involving traffic","Los Angeles","TN","False",14209.27,"False","Patricia Martin","5",1594,"Volvo","2015"
"INC00000112","10/12/2022 20:00:00","Moving Violation","Moderate incident involving weather","Dallas","MN","False",8635.87,"True","James Gonzalez","16",813,"Kenworth","2015"
"INC00000113","01/08/2022","DOT Violation","Moderate incident involving equipment","Detroit","UT","False",837.51,"True","Thomas Gonzalez","15",1236,"Kenworth","2018"
"INC00000114","23/01/2022 04:00:00","DOT Violation","Minor incident involving traffic","Houston","FL","False",11269.86,"True","Robert Johnson","11",1792,"International","2015"
"INC00000115","09/08/2022 17:00:00","Customer Complaint","Severe incident involving weather","Detroit","TX","False",6982.35,"False","Mary Miller","11",2427,"International","2015"
"INC00000116","22/04/2022 01:00:00","Customer Complaint","Moderate incident involving weather","Portland","TN","False",4300.84,"False","Charles Hernandez","19",2062,"Kenworth","2015"
"INC00000117","14/09/2022 22:00:00","Moving Violation","Minor incident involving traffic","Kansas City","NY","False",0.0,"False","Michael Smith","4",2538,"International","2018"
"INC00000118","04/05/2022 02:00:00","DOT Violation","Moderate incident involving weather","Phoenix","OH","False",3594.57,"True","Linda Thomas","10",1546,"Freightliner","2015"
"INC00000119","14/11/2024 11:00:00","Customer Complaint","Severe incident involving weather","Indianapolis","FL","True",19126.05,"False","Thomas Gonzalez","11",2818,"Peterbilt","2020"
"INC00000120","27/06/2022 16:00:00","Customer Complaint","Minor incident involving equipment","Seattle","TX","False",21722.31,"False","Patricia Taylor","15",2808,"Freightliner","2015"
"INC00000121","05/01/2023 03:00:00","Equipment Damage","Severe incident involving traffic","New York","TX","False",15928.79,"False","David Miller","14",574,"Peterbilt","2016"
"INC00000122","23/06/2022 16:00:00","DOT Violation","Severe incident involving weather","Atlanta","MN","True",18614.97,"False","Elizabeth Rodriguez","11",2304,"Peterbilt","2020"
"INC00000123","26/06/2022 10:00:00","Accident","Severe incident involving traffic","Seattle","OR","False",37489.49,"True","David Miller","14",2429,"Freightliner","2015"
"INC00000124","23/06/2022","Accident","Moderate incident involving equipment","Omaha","MI","False",24566.39,"True","Jennifer Miller","14",2441,"Mack","2015"
"INC00000125","09/01/2024 16:00:00","Equipment Damage","Severe incident involving weather","Chicago","NE","False",39635.12,"False","Linda Smith","2",692,"Mack","2015"
"INC00000126","12/02/2024 03:00:00","Customer Complaint","Moderate incident involving traffic","Seattle","OR","False",9648.15,"True","Michael Williams","13",718,"Volvo","2015"
"INC00000127","01/07/2023 07:00:00","Accident","Minor incident involving other driver","Chicago","TN","False",18690.01,"False","Linda Moore","18",2455,"Mack","2016"
"INC00000128","05/12/2022 12:00:00","Moving Violation","Moderate incident involving traffic","Phoenix","CO","True",19385.57,"False","Mary Williams","21",2132,"Peterbilt","2020"
"INC00000129","15/11/2023 21:00:00","DOT Violation","Severe incident involving traffic","Dallas","NY","False",38983.59,"True","Robert Moore","25",96,"Mack","2016"
"INC00000130","30/11/2023 10:00:00","Moving Violation","Moderate incident involving other driver","Dallas","AZ","False",19681.98,"False","John Martin","2",1091,"Freightliner","2015"
"INC00000131","13/02/2022 17:00:00","Equipment Damage","Moderate incident involving other driver","Columbus","FL","False",17099.92,"False","David Miller","14",2326,"Freightliner","2015"
"INC00000132","18/09/2024 08:00:00","DOT Violation","Moderate incident involving equipment","Memphis","NE","False",50127.72,"False","Richard Garcia","20",2676,"Peterbilt","2015"
"INC00000133","30/12/2023","Equipment Damage","Moderate incident involving other driver","Detroit","TN","True",20190.09,"False","Linda Gonzalez","25",1294,"Freightliner","2015"
"INC00000134","08/08/2024 22:00:00","Equipment Damage","Moderate incident involving other driver","Dallas","MO","False",38162.12,"False","Susan Anderson","8",965,"Volvo","2015"
"INC00000135","13/11/2022 15:00:00","Moving Violation","Severe incident involving equipment","Milwaukee","TX","False",48584.86,"True","John Davis","5",707,"Mack","2015"
"INC00000136","28/10/2023 12:00:00","Moving Violation","Moderate incident involving equipment","Chicago","MO","False",33681.19,"True","William Martin","20",2689,"Volvo","2015"
"INC00000137","02/10/2022 21:00:00","Customer Complaint","Minor incident involving other driver","Salt Lake City","CA","True",6225.41,"True","Charles Hernandez","19",1918,"Peterbilt","2016"
"INC00000138","21/04/2023 08:00:00","Customer Complaint","Minor incident involving weather","Philadelphia","TN","False",24239.68,"False","James Williams","7",2204,"Peterbilt","2018"
"INC00000139","29/08/2022 18:00:00","Customer Complaint","Moderate incident involving weather","Omaha","OH","True",4379.68,"False","Joseph Hernandez","23",1097,"Mack","2015"
"INC00000140","26/04/2024 15:00:00","Moving Violation","Severe incident involving traffic","Los Angeles","TX","False",17565.57,"False","William Brown","11",1741,"Mack","2017"
"INC00000141","10/01/2024 21:00:00","DOT Violation","Minor incident involving traffic","Miami","OH","False",4607.3,"False","Mary Miller","11",2321,"International","2015"
"INC00000142","31/01/2023 03:00:00","DOT Violation","Minor incident involving weather","Charlotte","TN","False",14558.08,"False","John Martin","2",2412,"Volvo","2015"
"INC00000143","09/02/2024 15:00:00","Customer Complaint","Moderate incident involving weather","Omaha","MO","False",21803.47,"True","William Anderson","9",1888,"Mack","2016"
"INC00000144","08/03/2024 21:00:00","Accident","Severe incident involving other driver","Miami","MI","False",0.0,"True","Sarah Anderson","16",2131,"Kenworth","2018"
"INC00000145","17/03/2024 04:00:00","Moving Violation","Minor incident involving traffic","Omaha","UT","False",14995.98,"False","Michael Smith","6",2758,"International","2015"
"INC00000146","05/03/2023 21:00:00","Customer Complaint","Severe incident involving weather","Seattle","NE","False",0.0,"True","Elizabeth Miller","7",681,"Peterbilt","2015"
"INC00000147","18/01/2022 06:00:00","DOT Violation","Minor incident involving other driver","Atlanta","CO","False",12831.58,"False","Michael Williams","13",1066,"Freightliner","2018"
"INC00000148","28/09/2024","Equipment Damage","Minor incident involving weather","Detroit","FL","False",7869.76,"False","Linda Thomas","10",2471,"Volvo","2015"
"INC00000149","23/08/2022 23:00:00","DOT Violation","Moderate incident involving traffic","Kansas City","OR","False",17958.59,"True","Robert Moore","25",917,"International","2018"
"INC00000150","07/04/2022 23:00:00","Customer Complaint","Severe incident involving weather","Oklahoma City","OR","False",18410.14,"False","William Wilson","20",2233,"International","2015"
"INC00000151","23/01/2024 01:00:00","Accident","Severe incident involving traffic","Milwaukee","WA","True",5762.54,"False","Jessica Thomas","6",1220,"Peterbilt","2015"
"INC00000152","15/11/2022","Equipment Damage","Minor incident involving weather","Milwaukee","OH","False",0.0,"False","Susan Wilson","21",2772,"Peterbilt","2016"
"INC00000153","13/05/2023 08:00:00","Customer Complaint","Severe incident involving weather","Seattle","PA","True",44030.45,"False","Joseph Hernandez","6",2640,"Freightliner","2015"
"INC00000154","25/04/2024 03:00:00","Accident","Severe incident involving traffic","Miami","GA","False",45441.33,"False","Mary Taylor","15",1305,"International","2015"
"INC00000155","02/11/2022 18:00:00","Equipment Damage","Moderate incident involving weather","Salt Lake City","IL","False",7673.56,"False","Robert Jackson","20",682,"Volvo","2015"
"INC00000156","28/05/2023 12:00:00","Moving Violation","Minor incident involving traffic","Indianapolis","IN","True",18911.94,"True","Jessica Jones","3",1747,"Peterbilt","2015"
"INC00000157","29/03/2023","Accident","Minor incident involving other driver","Columbus","MN","False",22050.56,"False","James Gonzalez","16",92,"Mack","2015"
"INC00000158","23/07/2023 11:00:00","Customer Complaint","Moderate incident involving weather","Denver","NC","False",18006.54,"False","James Gonzalez","16",272,"Peterbilt","2015"
"INC00000159","03/08/2022 01:00:00","Equipment Damage","Severe incident involving other driver","Atlanta","OK","False",62531.14,"True","John Thomas","15",2296,"Kenworth","2015"
"INC00000160","17/08/2024 07:00:00","Equipment Damage","Severe incident involving other driver","Las Vegas","CA","False",13449.34,"True","Michael Thomas","21",659,"International","2015"
"INC00000161","06/09/2024 07:00:00","Accident","Moderate incident involving other driver","Minneapolis","IN","False",0.0,"False","Susan Jackson","19",697,"International","2015"
"INC00000162","01/04/2024 14:00:00","Customer Complaint","Severe incident involving weather","Kansas City","OR","False",13452.82,"False","Patricia Gonzalez","24",1031,"International","2021"
"INC00000163","12/01/2024 22:00:00","Customer Complaint","Severe incident involving traffic","Detroit","UT","True",0.0,"False","William Wilson","20",3271,"Freightliner","2016"
"INC00000164","05/01/2022 02:00:00","DOT Violation","Moderate incident involving equipment","Houston","NV","False",12983.51,"False","Elizabeth Miller","7",757,"Mack","2016"
"INC00000165","18/10/2023 01:00:00","Moving Violation","Minor incident involving equipment","Denver","OH","True",33733.85,"False","Robert Martin","14",572,"Peterbilt","2015"
"INC00000166","09/05/2024 08:00:00","DOT Violation","Moderate incident involving traffic","Houston","PA","False",0.0,"False","Patricia Martin","5",2730,"Peterbilt","2015"
"INC00000167","23/05/2023 07:00:00","Equipment Damage","Moderate incident involving other driver","Miami","GA","False",20745.08,"False","William Williams","23",1883,"International","2018"
"INC00000168","08/01/2022 17:00:00","DOT Violation","Moderate incident involving traffic","Kansas City","NV","False",6355.71,"False","Charles Hernandez","19",505,"Mack","2017"
"INC00000169","27/05/2024","Equipment Damage","Moderate incident involving equipment","Dallas","MI","False",42537.23,"True","Sarah Davis","14",1687,"Kenworth","2015"
"INC00000170","12/04/2023 04:00:00","Moving Violation","Severe incident involving other driver","Memphis","NY","False",0.0,"False","Joseph Martinez","18",2309,"Volvo","2018"
